Order in the DSM-5,DSM-5 Chapter,DSM-5 Disorder,Constituent symptom (wording from DSM-5),Unique symptom number (index for duplicate symptoms; sort by this column to see the groups of symptoms that have been coded as redundant),"Specifier ( 0 = primary diagnosis, 1 = specifier)","Repeats at all (0 = no, 1 = yes)","Repeats within a chapter (0=no, 1=yes)",Number of diagnoses symptom appears in (count),"Repeats between chapters (0=no, 1=yes)",Number of chapters symptom appears in (count)
689,Ch12 - Sleep-Wake Disorders,Rapid Eye Movement Sleep Behavior Disorder,"Upon awakening from the repeated episodes of arousal during sleep, the individual is completely awake, alert, and not confused or disoriented",142,0,1,0,2,1,2
690,Ch12 - Sleep-Wake Disorders,Restless Legs Syndrome,An urge to move the legs,143,0,0,0,1,0,1
691,Ch12 - Sleep-Wake Disorders,Restless Legs Syndrome,Uncomfortable and unpleasant sensations in the legs,617,0,0,0,1,0,1
692,Ch12 - Sleep-Wake Disorders,Restless Legs Syndrome,"The urge to move the legs begins or worsens during periods of rest or inactivity, relieved by movement",426,0,0,0,1,0,1
693,Ch12 - Sleep-Wake Disorders,Restless Legs Syndrome,"The urge to move the legs is worse in the evening or at night than during the day, or occurs only in the evening or at night",427,0,0,0,1,0,1
694,Ch13 - Sexual Dysfunctions,Delayed Ejaculation,"Marked delay in ejaculation, without the individual desiring delay",428,0,1,1,2,0,1
695,Ch13 - Sexual Dysfunctions,Delayed Ejaculation,"Marked infrequency or absence of ejaculation, without the individual desiring delay or absence of ejaculation",144,0,1,1,2,0,1
696,Ch13 - Sexual Dysfunctions,Erectile Disorder,Marked difficulty in obtaining an erection during sexual activity,145,0,0,0,1,0,1
697,Ch13 - Sexual Dysfunctions,Erectile Disorder,Marked difficulty in maintaining an erection until the completion of sexual activity,146,0,0,0,1,0,1
698,Ch13 - Sexual Dysfunctions,Erectile Disorder,Marked decrease in erectile rigidity,429,0,0,0,1,0,1
699,Ch13 - Sexual Dysfunctions,Female Orgasmic Disorder,Delay in orgasm,428,0,1,1,2,0,1
700,Ch13 - Sexual Dysfunctions,Female Orgasmic Disorder,"Infrequency of, or absence of orgasm",144,0,1,1,2,0,1
701,Ch13 - Sexual Dysfunctions,Female Orgasmic Disorder,Markedly reduced intensity of orgasmic sensations,147,0,0,0,1,0,1
702,Ch13 - Sexual Dysfunctions,Female Sexual Interest/Arousal Disorder,Absent/reduced interest in sexual activity,148,0,1,1,3,1,2
703,Ch13 - Sexual Dysfunctions,Female Sexual Interest/Arousal Disorder,Absent/reduced sexual/erotic thoughts or fantasties,566,0,1,1,4,1,1
704,Ch13 - Sexual Dysfunctions,Female Sexual Interest/Arousal Disorder,No/reduced initiation of sexual activity,149,0,0,0,1,0,1
705,Ch13 - Sexual Dysfunctions,Female Sexual Interest/Arousal Disorder,Typically unreceptive to a partner’s attempts to initiate sexual activity,616,0,0,0,1,0,1
706,Ch13 - Sexual Dysfunctions,Female Sexual Interest/Arousal Disorder,Absent/reduced sexual excitement/pleasure during sexual activity,150,0,0,0,1,0,1
707,Ch13 - Sexual Dysfunctions,Female Sexual Interest/Arousal Disorder,"Absent/reduced sexual interest or arousal in response to any internal or external sexual/erotic cues (eg, written, verbal, visual)",151,0,0,0,1,0,1
708,Ch13 - Sexual Dysfunctions,Female Sexual Interest/Arousal Disorder,Absent/reduced genital or nongenital sensations during sexual activity in almost all or all sexual encounters,152,0,0,0,1,0,1
709,Ch13 - Sexual Dysfunctions,Genito-Pelvic Pain/Penetration Disorder,Persistent or recurrent difficulties with vaginal penetration during intercourse,589,0,0,0,1,0,1
710,Ch13 - Sexual Dysfunctions,Genito-Pelvic Pain/Penetration Disorder,Marked vulvovaginal or pelvic pain during vaginal intercourse or penetration attempts,153,0,0,0,1,0,1
711,Ch13 - Sexual Dysfunctions,Genito-Pelvic Pain/Penetration Disorder,"Marked fear or anxiety about vulvovaginal or pelvic pain in anticipation, during, or as a result of vaginal penetration",154,0,0,0,1,0,1
712,Ch13 - Sexual Dysfunctions,Genito-Pelvic Pain/Penetration Disorder,Marked tensing or tightening of the pelvic floor muscles during attempted vaginal penetration,155,0,0,0,1,0,1
713,Ch13 - Sexual Dysfunctions,Male Hypoactive Sexual Desire Disorder,Deficient (or absent) sexual/erotic thoughts and fantasies,566,0,1,1,4,1,1
714,Ch13 - Sexual Dysfunctions,Male Hypoactive Sexual Desire Disorder,Deficient (or absent) desire for sexual activity,148,0,1,1,3,1,2
715,Ch13 - Sexual Dysfunctions,Premature (Early) Ejaculation,A persistent or recurrent pattern of ejaculation occurring during partnered sexual activity within approximately 1 minute following vaginal penetration and before the individual wishes it,156,0,0,0,1,0,1
716,Ch14 - Gender Dysphoria,Gender Dysphoria in Adolescents and Adults,A marked incongruence between one’s experienced/expressed gender and primary and/or secondary sex characteristics,157,0,0,0,1,0,1
717,Ch14 - Gender Dysphoria,Gender Dysphoria in Adolescents and Adults,A strong desire to be rid of one’s primary and/or secondary sex characteristics because of a marked incongruence with one’s experienced/expressed gender,158,0,0,0,1,0,1
718,Ch14 - Gender Dysphoria,Gender Dysphoria in Adolescents and Adults,A strong desire to be of the other gender or treated as the other gender or for the primary and/or secondary sex characteristics of the other gender (or some alternative gender different from one’s assigned gender),430,0,0,0,1,0,1
719,Ch14 - Gender Dysphoria,Gender Dysphoria in Adolescents and Adults,A strong conviction that one has the typical feelings and reactions of the other gender (or some alternative gender different from one’s assigned gender),160,0,0,0,1,0,1
720,Ch14 - Gender Dysphoria,Gender Dysphoria in Adolescents and Adults - Posttransition,The individual has transitioned to full-time living in the desired gender (with or without legalization of gender change),161,1,0,0,1,0,1
721,Ch14 - Gender Dysphoria,Gender Dysphoria in Adolescents and Adults - Posttransition,"Has undergone (or is preparing to have) at least one cross-sex medical procedure or treatment regimen—namely, regular cross-sex hormone treatment or gender reassignment surgery confirming the desired gender (eg, penectomy, vaginoplasty in a natal male; mastectomy or phalloplasty in a natal female)",162,1,0,0,1,0,1
722,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Oppositional Defiant Disorder,Angry mood ,316,0,1,1,7,1,4
723,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Oppositional Defiant Disorder,Irritable mood,291,0,1,1,16,1,8
724,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Oppositional Defiant Disorder,Often loses temper,315,0,1,1,5,1,3
725,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Oppositional Defiant Disorder,Resentment,632,0,0,0,1,0,1
726,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Oppositional Defiant Disorder,Often argues with authority figures,433,0,0,0,1,0,1
727,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Oppositional Defiant Disorder,Actively defies or refuses to comply with requests from authority figures,163,0,0,0,1,0,1
728,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Oppositional Defiant Disorder,Often deliberately annoys others,580,0,0,0,1,0,1
729,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Oppositional Defiant Disorder,Often blames others for his or her mistakes or misbehavior,434,0,0,0,1,0,1
730,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Oppositional Defiant Disorder,Has been spiteful or vindictive,164,0,1,0,2,1,2
731,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Intermittent Explosive Disorder,"Verbal aggression (eg, temper tantrums, tirades, verbal arguments or fights)",315,0,1,1,5,1,3
732,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Intermittent Explosive Disorder,"Physical aggression or assault toward property, animals, or other individuals",72,0,1,1,7,1,4
733,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Intermittent Explosive Disorder,Behavioral outbursts involving damage or destruction of property,678,0,1,0,3,1,3
734,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder,"Often bullies, threatens, or intimidates others",435,0,1,0,2,1,2
735,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder,Often initiates physical fights,165,0,1,1,5,1,4
736,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder,"Has used a weapon that can cause serious physical harm to others (eg, a bat, brick, broken bottle, knife, gun)",436,0,1,0,3,1,3
737,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder,Has been physically cruel to animals,438,0,1,0,3,1,3
738,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder,Has been physically cruel to people,437,0,1,0,2,1,2
739,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder,"Has stolen while confronting a victim (eg, mugging, purse snatching, extortion, armed robbery)",439,0,1,0,3,1,3
740,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder,Has forced someone into sexual activity,576,0,1,0,3,1,3
741,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder,Has deliberately engaged in fire setting with the intention of causing serious damage,577,0,1,1,4,1,3
742,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder,Has deliberately destroyed others’ property,588,0,1,0,3,1,3
743,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder,"Has broken into someone else’s house, building, or car",440,0,1,0,3,1,3
744,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder,"Often lies to obtain goods or favors (ie, “cons” others)",442,0,1,0,3,1,3
745,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder,"Often lies to avoid obligations (ie, “cons” others)",441,0,1,0,2,1,2
746,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder,"Has stolen items of nontrivial value without confronting a victim (eg, shoplifting, but without breaking and entering; forgery)",166,0,1,0,3,1,3
747,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder - With limited prosocial emotions,Lack of remorse or guilt: Does not feel bad or guilty when he or she does something wrong,443,1,1,0,2,1,2
748,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder - With limited prosocial emotions,Lack of remorse or guilt: The individual shows a general lack of concern about the negative consequences of his or her actions,572,1,0,0,1,0,1
749,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder - With limited prosocial emotions,Callous–lack of empathy: Disregards and is unconcerned about the feelings of others,570,1,1,0,2,1,2
750,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder - With limited prosocial emotions,Callous–lack of empathy: The individual is described as cold and uncaring,444,1,1,0,2,1,2
751,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder - With limited prosocial emotions,"Callous–lack of empathy: The person appears more concerned about the effects of his or her actions on himself or herself, rather than their effects on others, even when they result in substantial harm to others",646,1,0,0,1,0,1
752,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder - With limited prosocial emotions,"Unconcerned about performance: Does not show concern about poor/problematic performance at school, work, or in other important activities",582,1,0,0,1,0,1
753,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder - With limited prosocial emotions,"Unconcerned about performance: The individual does not put forth the effort necessary to perform well, even when expectations are clear",445,1,0,0,1,0,1
754,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder - With limited prosocial emotions,Unconcerned about performance: Typically blames others for his or her poor performance,446,1,0,0,1,0,1
755,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder - With limited prosocial emotions,"Shallow or deficient affect: Does not express feelings or show emotions to others, except in ways that seem shallow, insincere, or superficial (eg, actions contradict the emotion displayed; can turn emotions “on” or “off” quickly)",447,1,1,0,2,1,2
756,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Conduct Disorder - With limited prosocial emotions,"Shallow or deficient affect: Does not express feelings or show emotions to others, except when emotional expressions are used for gain (eg, emotions displayed to manipulate or intimidate others)",448,1,0,0,1,0,1
757,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Pyromania,Deliberate and purposeful fire setting,577,0,1,1,4,1,3
758,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Pyromania,Tension or affective arousal before the act of setting a fire,449,0,0,0,1,0,1
759,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Pyromania,"Fascination with, interest in, curiosity about, or attraction to fire and its situational contexts (eg, paraphernalia, uses, consequences)",168,0,0,0,1,0,1
760,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Pyromania,"Pleasure, gratification, or relief when witnessing or participating in the aftermath of fires",169,0,0,0,1,0,1
761,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Pyromania,"Pleasure, gratification, or relief when setting fires",450,0,0,0,1,0,1
762,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Kleptomania,Failure to resist impulses to steal objects that are not needed for personal use or for their monetary value,170,0,0,0,1,0,1
763,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Kleptomania,Increasing sense of tension immediately before committing the theft,451,0,0,0,1,0,1
764,"Ch15 - Disruptive, Impulse-Control, and Conduct Disorders",Kleptomania,"Pleasure, gratification, or relief at the time of committing the theft",452,0,0,0,1,0,1
765,Ch16 - Substance-Related and Addictive Disorders,Alcohol Use Disorder,Alcohol is often taken in larger amounts than was intended,453,0,1,1,10,0,1
766,Ch16 - Substance-Related and Addictive Disorders,Alcohol Use Disorder,Alcohol is often taken over a longer period than was intended,454,0,1,1,10,0,1
767,Ch16 - Substance-Related and Addictive Disorders,Alcohol Use Disorder,Desire or unsuccessful efforts to cut down or control alcohol use,672,0,1,1,10,0,1
768,Ch16 - Substance-Related and Addictive Disorders,Alcohol Use Disorder,A great deal of time is spent in activities necessary to obtain or use alcohol,456,0,1,1,10,0,1
769,Ch16 - Substance-Related and Addictive Disorders,Alcohol Use Disorder,A great deal of time is spent in activities necessary to recover from the effects of alcohol,457,0,1,1,9,0,1
770,Ch16 - Substance-Related and Addictive Disorders,Alcohol Use Disorder,"Craving, or a strong desire or urge to use alcohol",171,0,1,1,10,0,1
771,Ch16 - Substance-Related and Addictive Disorders,Alcohol Use Disorder,Continued alcohol use despite having persistent or recurrent social or interpersonal problems caused or exacerbated by the effects of alcohol,172,0,1,1,10,0,1
772,Ch16 - Substance-Related and Addictive Disorders,Alcohol Use Disorder,Recurrent alcohol use in situations in which it is physically hazardous,173,0,1,1,10,0,1
773,Ch16 - Substance-Related and Addictive Disorders,Alcohol Use Disorder,Alcohol use is continued despite knowledge of having a persistent or recurrent physical or psychological problem that is likely to have been caused or exacerbated by alcohol,174,0,1,1,10,0,1
774,Ch16 - Substance-Related and Addictive Disorders,Alcohol Use Disorder,A need for markedly increased amounts of alcohol to achieve intoxication or desired effect,175,0,1,1,10,0,1
775,Ch16 - Substance-Related and Addictive Disorders,Alcohol Use Disorder,A markedly diminished effect with continued use of the same amount of alcohol,458,0,1,1,10,0,1
776,Ch16 - Substance-Related and Addictive Disorders,Alcohol Use Disorder,"Alcohol (or a closely related substance, such as a benzodiazepine) is taken to relieve or avoid withdrawal symptoms",558,0,1,1,7,0,1
777,Ch16 - Substance-Related and Addictive Disorders,Alcohol Intoxication,Recent ingestion of alcohol,9,0,0,0,1,0,1
778,Ch16 - Substance-Related and Addictive Disorders,Alcohol Intoxication,Inappropriate sexual behaviour,176,0,1,1,3,1,2
779,Ch16 - Substance-Related and Addictive Disorders,Alcohol Intoxication,Aggressive behavior,72,0,1,1,7,1,4
780,Ch16 - Substance-Related and Addictive Disorders,Alcohol Intoxication,Mood lability,73,0,1,1,6,1,4
781,Ch16 - Substance-Related and Addictive Disorders,Alcohol Intoxication,Impaired judgement,177,0,1,1,9,0,1
782,Ch16 - Substance-Related and Addictive Disorders,Alcohol Intoxication,Slurred speech,391,0,1,1,6,1,2
783,Ch16 - Substance-Related and Addictive Disorders,Alcohol Intoxication,Incoordination,178,0,1,1,9,1,3
784,Ch16 - Substance-Related and Addictive Disorders,Alcohol Intoxication,Unsteady gait,560,0,1,1,4,1,2
785,Ch16 - Substance-Related and Addictive Disorders,Alcohol Intoxication,Nystagmus,179,0,1,1,4,0,1
786,Ch16 - Substance-Related and Addictive Disorders,Alcohol Intoxication,Impairment in attention,180,0,1,1,4,1,2
787,Ch16 - Substance-Related and Addictive Disorders,Alcohol Intoxication,Impairment in memory,181,0,1,1,3,0,1
788,Ch16 - Substance-Related and Addictive Disorders,Alcohol Intoxication,Stupor,64,0,1,1,9,1,7
789,Ch16 - Substance-Related and Addictive Disorders,Alcohol Intoxication,Coma,182,0,1,1,6,0,1
790,Ch16 - Substance-Related and Addictive Disorders,Alcohol Withdrawal,Cessation of (or reduction in) alcohol use that has been heavy and prolonged,1,0,0,0,1,0,1
791,Ch16 - Substance-Related and Addictive Disorders,Alcohol Withdrawal,Sweating,340,0,1,1,7,1,2
792,Ch16 - Substance-Related and Addictive Disorders,Alcohol Withdrawal,Pulse rate greater than 100 bpm,339,0,1,1,8,1,2
793,Ch16 - Substance-Related and Addictive Disorders,Alcohol Withdrawal,Increased hand tremor,389,0,1,1,8,1,4
794,Ch16 - Substance-Related and Addictive Disorders,Alcohol Withdrawal,Insomnia,301,0,1,1,22,1,8
795,Ch16 - Substance-Related and Addictive Disorders,Alcohol Withdrawal,Nausea,345,0,1,1,7,1,3
796,Ch16 - Substance-Related and Addictive Disorders,Alcohol Withdrawal,Vomiting,459,0,1,1,5,0,1
797,Ch16 - Substance-Related and Addictive Disorders,Alcohol Withdrawal,"Transient visual, tactile, or auditory hallucinations",287,1,1,1,14,1,5
798,Ch16 - Substance-Related and Addictive Disorders,Alcohol Withdrawal,"Transient visual, tactile, or auditory illusions

",1115,1,1,1,6,0,1
799,Ch16 - Substance-Related and Addictive Disorders,Alcohol Withdrawal,Psychomotor agitation,598,0,1,1,16,1,5
800,Ch16 - Substance-Related and Addictive Disorders,Alcohol Withdrawal,Anxiety,321,0,1,1,12,1,4
801,Ch16 - Substance-Related and Addictive Disorders,Alcohol Withdrawal,Generalized tonic-clonic seizures,392,0,1,1,5,1,2
802,Ch16 - Substance-Related and Addictive Disorders,Caffeine Intoxication,Recent consumption of caffeine (typically a high dose well in excess of 250 mg),10,0,1,1,2,0,1
803,Ch16 - Substance-Related and Addictive Disorders,Caffeine Intoxication,Restlessness,276,0,1,1,10,1,7
804,Ch16 - Substance-Related and Addictive Disorders,Caffeine Intoxication,Nervousness,321,0,1,1,12,1,4
805,Ch16 - Substance-Related and Addictive Disorders,Caffeine Intoxication,Excitement ,628,0,0,0,1,0,1
806,Ch16 - Substance-Related and Addictive Disorders,Caffeine Intoxication,Insomnia,301,0,1,1,22,1,8
807,Ch16 - Substance-Related and Addictive Disorders,Caffeine Intoxication,Flushed face ,183,0,0,0,1,0,1
808,Ch16 - Substance-Related and Addictive Disorders,Caffeine Intoxication,Diuresis ,184,0,0,0,1,0,1
809,Ch16 - Substance-Related and Addictive Disorders,Caffeine Intoxication,Gastrointestinal disturbance ,185,0,0,0,1,0,1
810,Ch16 - Substance-Related and Addictive Disorders,Caffeine Intoxication,Muscle twitching ,186,0,0,0,1,0,1
811,Ch16 - Substance-Related and Addictive Disorders,Caffeine Intoxication,Rambling flow of thought and speech during,187,0,0,0,1,0,1
812,Ch16 - Substance-Related and Addictive Disorders,Caffeine Intoxication,Tachycardia,339,0,1,1,8,1,2
813,Ch16 - Substance-Related and Addictive Disorders,Caffeine Intoxication,Cardiac arrhythmia ,188,0,1,1,2,0,1
814,Ch16 - Substance-Related and Addictive Disorders,Caffeine Intoxication,Periods of inexhaustibility,659,0,1,1,5,1,3
815,Ch16 - Substance-Related and Addictive Disorders,Caffeine Intoxication,Psychomotor agitation,598,0,1,1,16,1,5
816,Ch16 - Substance-Related and Addictive Disorders,Caffeine Withdrawal,Prolonged daily use of caffeine,10,0,1,1,2,0,1
817,Ch16 - Substance-Related and Addictive Disorders,Caffeine Withdrawal,Abrupt cessation of or reduction in caffeine use,2,0,0,0,1,0,1
818,Ch16 - Substance-Related and Addictive Disorders,Caffeine Withdrawal,Headache ,460,0,1,1,3,1,2
819,Ch16 - Substance-Related and Addictive Disorders,Caffeine Withdrawal,Fatigue,662,0,1,1,12,1,6
820,Ch16 - Substance-Related and Addictive Disorders,Caffeine Withdrawal,Drowsiness,630,0,1,1,17,1,6
821,Ch16 - Substance-Related and Addictive Disorders,Caffeine Withdrawal,Dysphoric mood,590,0,1,1,4,0,1
822,Ch16 - Substance-Related and Addictive Disorders,Caffeine Withdrawal,Depressed mood,295,0,1,1,15,1,6
823,Ch16 - Substance-Related and Addictive Disorders,Caffeine Withdrawal,Irritability,291,0,1,1,16,1,8
824,Ch16 - Substance-Related and Addictive Disorders,Caffeine Withdrawal,Difficulty concentrating,70,0,1,1,17,1,7
825,Ch16 - Substance-Related and Addictive Disorders,Caffeine Withdrawal,Nausea,345,0,1,1,7,1,3
826,Ch16 - Substance-Related and Addictive Disorders,Caffeine Withdrawal,Vomiting,459,0,1,1,5,0,1
827,Ch16 - Substance-Related and Addictive Disorders,Caffeine Withdrawal,Muscle pain/stiffness,327,0,1,1,5,1,4
828,Ch16 - Substance-Related and Addictive Disorders,Cannabis Use Disorder,Cannabis is taken in larger amounts than was intended,453,0,1,1,10,0,1
829,Ch16 - Substance-Related and Addictive Disorders,Cannabis Use Disorder,Cannabis is taken over a longer period than was intended,454,0,1,1,10,0,1
830,Ch16 - Substance-Related and Addictive Disorders,Cannabis Use Disorder,Desire or unsuccessful efforts to cut down or control cannabis use,672,0,1,1,10,0,1
831,Ch16 - Substance-Related and Addictive Disorders,Cannabis Use Disorder,A great deal of time is spent in activities necessary to obtain cannabis or use cannabis,456,0,1,1,10,0,1
832,Ch16 - Substance-Related and Addictive Disorders,Cannabis Use Disorder,A great deal of time is spent in activities necessary to recover from the effects of cannabis,457,0,1,1,9,0,1
833,Ch16 - Substance-Related and Addictive Disorders,Cannabis Use Disorder,"Craving, or a strong desire or urge to use cannabis",171,0,1,1,10,0,1
834,Ch16 - Substance-Related and Addictive Disorders,Cannabis Use Disorder,Continued cannabis use despite having persistent or recurrent social or interpersonal problems caused or exacerbated by the effects of cannabis,172,0,1,1,10,0,1
835,Ch16 - Substance-Related and Addictive Disorders,Cannabis Use Disorder,Cannabis use in situations in which it is physically hazardous,173,0,1,1,10,0,1
836,Ch16 - Substance-Related and Addictive Disorders,Cannabis Use Disorder,Cannabis use is continued despite knowledge of having a persistent or recurrent physical or psychological problem that is likely to have been caused or exacerbated by cannabis,174,0,1,1,10,0,1
837,Ch16 - Substance-Related and Addictive Disorders,Cannabis Use Disorder,A need for markedly increased amounts of cannabis to achieve intoxication or desired effect,175,0,1,1,10,0,1
838,Ch16 - Substance-Related and Addictive Disorders,Cannabis Use Disorder,Diminished effect with continued use of the same amount of cannabis,458,0,1,1,10,0,1
839,Ch16 - Substance-Related and Addictive Disorders,Cannabis Use Disorder,Cannabis (or a closely related substance) is taken to relieve or avoid withdrawal symptoms,558,0,1,1,7,0,1
840,Ch16 - Substance-Related and Addictive Disorders,Cannabis Intoxication,Recent use of cannabis,11,0,0,0,1,0,1
841,Ch16 - Substance-Related and Addictive Disorders,Cannabis Intoxication,Impaired motor coordination,178,0,1,1,9,1,3
842,Ch16 - Substance-Related and Addictive Disorders,Cannabis Intoxication,Euphoria,290,0,1,1,10,1,4
843,Ch16 - Substance-Related and Addictive Disorders,Cannabis Intoxication,Anxiety,321,0,1,1,12,1,4
844,Ch16 - Substance-Related and Addictive Disorders,Cannabis Intoxication,Sensation of slowed time ,190,0,1,0,2,1,2
845,Ch16 - Substance-Related and Addictive Disorders,Cannabis Intoxication,Impaired judgement,177,0,1,1,9,0,1
846,Ch16 - Substance-Related and Addictive Disorders,Cannabis Intoxication,Social withdrawal,650,0,1,1,3,1,2
847,Ch16 - Substance-Related and Addictive Disorders,Cannabis Intoxication,Conjunctival injection,461,0,0,0,1,0,1
848,Ch16 - Substance-Related and Addictive Disorders,Cannabis Intoxication,Increased appetite,300,0,1,1,12,1,5
849,Ch16 - Substance-Related and Addictive Disorders,Cannabis Intoxication,Dry mouth ,462,0,0,0,1,0,1
850,Ch16 - Substance-Related and Addictive Disorders,Cannabis Intoxication,Tachycardia,339,0,1,1,8,1,2
851,Ch16 - Substance-Related and Addictive Disorders,Cannabis Intoxication - With perceptual disturbances,Hallucinations with intact reality testing,287,1,1,1,14,1,5
852,Ch16 - Substance-Related and Addictive Disorders,Cannabis Intoxication - With perceptual disturbances,"Auditory, visual, or tactile illusions",1115,1,1,1,6,0,1
853,Ch16 - Substance-Related and Addictive Disorders,Cannabis Withdrawal,"Cessation of cannabis use that has been heavy and prolonged (ie, usually daily or almost daily use over a period of at least a few months)",3,0,0,0,1,0,1
854,Ch16 - Substance-Related and Addictive Disorders,Cannabis Withdrawal,Irritability,291,0,1,1,16,1,8
855,Ch16 - Substance-Related and Addictive Disorders,Cannabis Withdrawal,Anger,316,0,1,1,7,1,4
856,Ch16 - Substance-Related and Addictive Disorders,Cannabis Withdrawal,Aggression,72,0,1,1,7,1,4
857,Ch16 - Substance-Related and Addictive Disorders,Cannabis Withdrawal,Nervousness or anxiety,321,0,1,1,12,1,4
858,Ch16 - Substance-Related and Addictive Disorders,Cannabis Withdrawal,Insomnia,301,0,1,1,22,1,8
859,Ch16 - Substance-Related and Addictive Disorders,Cannabis Withdrawal,Disturbing dreams ,191,0,1,1,2,0,1
860,Ch16 - Substance-Related and Addictive Disorders,Cannabis Withdrawal,Decreased appetite,299,0,1,1,10,1,4
861,Ch16 - Substance-Related and Addictive Disorders,Cannabis Withdrawal,Weight loss,297,0,1,1,10,1,5
862,Ch16 - Substance-Related and Addictive Disorders,Cannabis Withdrawal,Restlessness,276,0,1,1,10,1,7
863,Ch16 - Substance-Related and Addictive Disorders,Cannabis Withdrawal,Depressed mood,295,0,1,1,15,1,6
864,Ch16 - Substance-Related and Addictive Disorders,Cannabis Withdrawal,Abdominal pain,346,0,1,0,3,1,3
865,Ch16 - Substance-Related and Addictive Disorders,Cannabis Withdrawal,Shakiness/tremors,389,0,1,1,8,1,4
866,Ch16 - Substance-Related and Addictive Disorders,Cannabis Withdrawal,Sweating,340,0,1,1,7,1,2
867,Ch16 - Substance-Related and Addictive Disorders,Cannabis Withdrawal,Fever,192,0,1,1,2,0,1
868,Ch16 - Substance-Related and Addictive Disorders,Cannabis Withdrawal,Chills,348,0,1,1,3,1,2
869,Ch16 - Substance-Related and Addictive Disorders,Cannabis Withdrawal,Headaches,460,0,1,1,3,1,2
870,Ch16 - Substance-Related and Addictive Disorders,Phencyclidine Use Disorder,Phencyclidine is taken in larger amounts than was intended,453,0,1,1,10,0,1
871,Ch16 - Substance-Related and Addictive Disorders,Phencyclidine Use Disorder,Phencyclidine is taken over a longer period than was intended,454,0,1,1,10,0,1
872,Ch16 - Substance-Related and Addictive Disorders,Phencyclidine Use Disorder,Desire or unsuccessful efforts to cut down or control phencyclidine use,672,0,1,1,10,0,1
873,Ch16 - Substance-Related and Addictive Disorders,Phencyclidine Use Disorder,A great deal of time is spent in activities necessary to obtain or use phencyclidine,456,0,1,1,10,0,1
874,Ch16 - Substance-Related and Addictive Disorders,Phencyclidine Use Disorder,A great deal of time is spent in activities necessary to recover from the effects of phencyclidine,457,0,1,1,9,0,1
875,Ch16 - Substance-Related and Addictive Disorders,Phencyclidine Use Disorder,"Craving, or a strong desire or urge to use phencyclidine",171,0,1,1,10,0,1
876,Ch16 - Substance-Related and Addictive Disorders,Phencyclidine Use Disorder,"Continued phencyclidine use despite having persistent or recurrent social or interpersonal problems caused or exacerbated by the effects of the phencyclidine (eg, arguments with a spouse about consequences of intoxication; physical fights)",172,0,1,1,10,0,1
